canonical_entity_key,checker_reason,fact_abn_equal,fact_acn_equal,fact_name_equal_normalised,fact_postcode_equal,fact_state_conflict,method,name_a,name_b,our_confidence,pair_id,reviewed_by,sample,source_a,source_b,verdict
abn:80117140235,Matching ABN 80117140235 identifies the same legal entity regardless of name wording.,True,False,True,False,False,abn_exact,NUIX PTY LTD,NUIX LIMITED,0.99,L01200,claude-sonnet (independent reviewer),headline,historical-australian-government-contrac,wgea-dataset,yes
abn:42843327183,Matching ABN 42843327183 identifies the same legal entity regardless of name wording.,True,False,False,False,False,abn_exact,Piper Alderman,S.M Adams & Others,0.99,L01295,claude-sonnet (independent reviewer),headline,historical-australian-government-contrac,wgea-dataset,yes
abn:37112535645,Matching ABN 37112535645 identifies the same legal entity regardless of name wording.,True,False,True,False,False,abn_exact,Envirolab Services Pty Ltd,Envirolab Services Pty Ltd,0.99,L01453,claude-sonnet (independent reviewer),headline,historical-australian-government-contrac,wgea-dataset,yes
abn:91062546365,Matching ABN 91062546365 identifies the same legal entity regardless of name wording.,True,False,True,False,False,abn_exact,Wommin Bay Hostels,Wommin Bay Hostels,0.99,L00573,claude-sonnet (independent reviewer),headline,acnc-registered-charities,wgea-dataset,yes
abn:90000049525,Matching ABN 90000049525 identifies the same legal entity regardless of name wording.,True,False,False,False,False,abn_exact,BaptistCare,Baptistcare NSW & ACT,0.99,L00261,claude-sonnet (independent reviewer),headline,acnc-registered-charities,wgea-dataset,yes
abn:40000805425,Matching ABN 40000805425 identifies the same legal entity regardless of name wording.,True,False,True,False,False,abn_exact,J.J. RICHARDS & SONS PTY LTD,J.J. Richards & Sons Pty Ltd,0.99,L00927,claude-sonnet (independent reviewer),headline,asic-company-dataset,wgea-dataset,yes
abn:61000449178,Matching ABN 61000449178 identifies the same legal entity regardless of name wording.,True,False,False,False,False,abn_exact,SUTHERLAND INSTRUMENT SERVICE CO PTY LTD,SUTHERLAND INSTRUMENT SERVICE,0.99,L00839,claude-sonnet (independent reviewer),headline,asic-company-dataset,historical-australian-government-contrac,yes
abn:71000064835,Matching ABN 71000064835 identifies the same legal entity regardless of name wording.,True,False,True,False,False,abn_exact,STOCKLAND DEVELOPMENT PTY LIMITED,Stockland Development Pty Limited,0.99,L00709,claude-sonnet (independent reviewer),headline,asic-company-dataset,wgea-dataset,yes
abn:63144947124,Matching ABN 63144947124 identifies the same legal entity regardless of name wording.,True,False,True,False,False,abn_exact,Achieve Commercial Limited,Achieve Commercial Limited,0.99,L00494,claude-sonnet (independent reviewer),headline,acnc-registered-charities,wgea-dataset,yes
abn:42000664942,Matching ABN 42000664942 identifies the same legal entity regardless of name wording.,True,False,True,False,False,abn_exact,VINIDEX PTY LIMITED,Vinidex Pty Limited,0.99,L00897,claude-sonnet (independent reviewer),headline,asic-company-dataset,wgea-dataset,yes
abn:69000065636,Matching ABN 69000065636 identifies the same legal entity regardless of name wording.,True,False,True,False,False,abn_exact,BARRON & RAWSON PTY LTD,BARRON & RAWSON PTY LTD,0.99,L00710,claude-sonnet (independent reviewer),headline,asic-company-dataset,historical-australian-government-contrac,yes
abn:94643894384,Matching ABN 94643894384 identifies the same legal entity regardless of name wording.,True,False,True,False,False,abn_exact,Catholic Education Sandhurst Limited,Catholic Education Sandhurst Limited,0.99,L00043,claude-sonnet (independent reviewer),headline,acnc-registered-charities,wgea-dataset,yes
abn:48394787253,Matching ABN 48394787253 identifies the same legal entity regardless of name wording.,True,False,True,False,False,abn_exact,South Perth Hospital Inc,South Perth Hospital Inc,0.99,L00259,claude-sonnet (independent reviewer),headline,acnc-registered-charities,wgea-dataset,yes
abn:94001540316,Matching ABN 94001540316 identifies the same legal entity regardless of name wording.,True,False,False,False,False,abn_exact,HAWKER PACIFIC PTY LTD,Jet Aviation Australia Pty Ltd,0.99,L01480,claude-sonnet (independent reviewer),headline,historical-australian-government-contrac,wgea-dataset,yes
abn:83153973481,Matching ABN 83153973481 identifies the same legal entity regardless of name wording.,True,False,False,False,False,abn_exact,Macquarie University Services Limited,Mgsm Limited,0.99,L00598,claude-sonnet (independent reviewer),headline,acnc-registered-charities,wgea-dataset,yes
abn:40068649972,Matching ABN 40068649972 identifies the same legal entity regardless of name wording.,True,False,False,False,False,abn_exact,ASI SOLUTIONS,Anabelle Bits Pty Ltd,0.99,L01046,claude-sonnet (independent reviewer),headline,historical-australian-government-contrac,wgea-dataset,yes
